"rank","name","industry","revenue","three_years_growth_percent","workers","founded","yrs_on_list","state","metro","city","url"
"1","Freestar","Advertising & Marketing",36.9,36.68,40,2015,"1","AZ","Phoenix","Phoenix","http://freestar.com"
"2","FreightWise","Logistics & Transportation",33.6,30.548,39,2015,"1","TN","Nashville","Brentwood","http://freightwisellc.com"
"3","Cece's Veggie Co.","Food & Beverage",24.9,23.88,190,2015,"1","TX","Austin","Austin","http://cecesveggieco.com"
"4","LadyBoss","Consumer Products & Services",32.4,21.85,57,2014,"1","NM",NA,"Albuquerque","http://ladyboss.com"
"5","Perpay","Retail",22.5,18.166,25,2014,"1","PA","Philadelphia","Philadelphia","http://perpay.com"
"6","Cano Health","Health",271.8,14.183,742,2009,"1","FL","Miami","Miami","http://canohealth.com"
"7","Bear Mattress","Consumer Products & Services",20.5,13.481,12,2014,"1","NJ","New York City","Hoboken","http://bearmattress.com"
"8","Connected Solutions Group","Telecommunications",23.3,12.701,72,2015,"1","VA","Richmond","Mechanicsville","http://csgstore.net"
"9","Providence Healthcare Management","Health",225.9,12.565,60,2008,"1","OH","Cleveland","Cleveland","http://providencehcm.com"
"10","NOM","Advertising & Marketing",21.4,11.996,37,2014,"1","CA","Los Angeles","Los Angeles","http://thisisnom.co"
"11","NuLeaf Naturals","Consumer Products & Services",13.9,11.949,40,2014,"1","CO","Denver","Denver","nuleafnaturals.com"
"12","Urgently","Logistics & Transportation",30.3,11.633,226,2013,"1","VA","Washington","Vienna","geturgently.com"
"13","nutpods","Food & Beverage",19.1,11.623,23,2013,"1","WA","Seattle","Bellevue","http://nutpods.com"
"14","YieldStreet","Financial Services",19.1,10.562,66,2015,"1","NY","New York City","New York","http://yieldstreet.com"
"15","MuteSix","Advertising & Marketing",17.3,10.176,109,2014,"3","CA","Los Angeles","Los Angeles","http://mutesix.com"
"16","Anchor Worldwide","Advertising & Marketing",10.7,9.753,110,2015,"1","NY","New York City","New York","anchorww.com"
"17","LendingPoint","Financial Services",105.8,9.265,190,2014,"1","GA","Atlanta","Kennesaw","lendingpoint.com"
"18","With Clarity","Consumer Products & Services",19,9.179,14,2013,"1","NY","New York City","New York","http://withclarity.com"
"19","Sonendo","Health",24.4,8.657,191,2006,"1","CA","Los Angeles","Laguna Hills","sonendo.com"
"20","Kindred Bravely","Consumer Products & Services",9.6,8.544,35,2015,"1","CA","San Diego","Oceanside","http://kindredbravely.com"
"21","Tailor Made Compounding","Health",10.2,8.327,45,2015,"1","KY",NA,"Nicholasville","http://tailormadecompounding.com"
"22","SD3IT","Computer Hardware",11.9,8.283,12,2014,"1","FL",NA,"The Villages","http://sd3it.com"
"23","ConvertKit","Software",13.8,7.966,37,2013,"2","ID","Boise City-Nampa","Boise","convertkit.com"
"24","Printify","Software",10.5,7.926,70,2015,"1","CA","San Francisco","San Francisco","http://printify.com"
"25","Awardco","Software",8.9,7.478,42,2015,"1","UT","Provo-Orem","Orem","http://award.co"
"26","Pegasus Optimization Managers","Energy",128.2,7.427,191,2015,"1","TX",NA,"College Station","pegasus15.com"
"27","FITT Scientific","Government Services",15.8,7.329,191,2013,"1","VA","Richmond","Colonial Heights","fittscientific.com"
"28","Amherst Madison","Real Estate",7.8,7.301,8,2014,"2","ID","Boise City-Nampa","Boise","amherstmadisonlegacy.com"
"29","LumenAd","Software",11.8,7.045,60,2014,"1","MT",NA,"Missoula","lumenad.com"
"30","Bendcare","Health",156,6.9,37,2015,"1","FL","Miami","Boca Raton","bendcare.com"
"31","The Welfont Companies","Real Estate",20.4,6.871,51,2014,"2","FL","Tampa","Tampa","welfont.com"
"32","Skinny Dipped","Consumer Products & Services",10.2,6.642,21,2013,"1","WA","Seattle","Seattle","http://skinnydipped.com"
"33","RDI Technologies","Manufacturing",7.2,6.493,21,2013,"1","TN",NA,"Knoxville","rditechnologies.com"
"34","Limited Run Games","Media",20.8,6.388,21,2010,"1","NC","Raleigh","Apex","limitedrungames.com"
"35","SwanLeap","Logistics & Transportation",162.6,6.383,38,2013,"3","WI","Madison","Madison","swanleap.com"
"36","Vesta Modular","Construction",48.9,6.337,52,2014,"1","MI","Detroit","Southfield","http://vestamodular.com"
"37","H&C Animal Health","Consumer Products & Services",24,6.287,11,2013,"1","CO","Denver","Parker","hc-animal-health.com"
"38","Homesnap","Real Estate",17.5,6.177,85,2012,"2","MD","Washington","Bethesda","homesnap.com"
"39","Paradigm Construction","Construction",45.2,6.145,27,2013,"2","TX","Houston","The Woodlands","paradigmconstruction-tx.com"
"40","Allata","IT System Development",15.2,6.134,71,2014,"1","TX","Dallas","Dallas","allata.com"
"41","Fanchest","Retail",8.3,6.056,13,2014,"1","NY","New York City","New York","http://fanchest.com"
"42","Fund That Flip","Real Estate",6.4,6.018,41,2014,"1","NY","New York City","New York","http://fundthatflip.com"
"43","Villaway","Travel & Hospitality",7,5.936,15,2014,"2","CA","Los Angeles","Los Angeles","http://villaway.com"
"44","IQM","Advertising & Marketing",8.8,5.852,40,2014,"1","NY","New York City","New York","http://iqm.com"
"45","Home Quality Remodeling","Construction",6.2,5.835,10,2004,"1","CA","San Francisco","Concord","homequalityremodeling.com"
"46","Beeswax","Software",16.9,5.768,56,2014,"1","NY","New York City","New York","http://beeswax.com"
"47","Netizen","Security",6.3,5.638,46,2013,"1","PA","Allentown-Bethlehem-Easton","Allentown","http://netizencorp.com"
"48","phData","IT Management",9.8,5.638,86,2014,"1","MN","Minneapolis","Minneapolis","phdata.io"
"49","MDstaffers","Health",7.1,5.634,22,2010,"1","CA",NA,"Rancho Cordova","http://mdstaffers.com"
"50","TalEx","Human Resources",48.5,5.484,500,2012,"3","MD","Washington","Clarksburg","teamtalex.com"
"51","Nationwide Mortgage Bankers","Financial Services",25,5.45,400,2011,"1","NY","New York City","Melville","nmbhome.com"
"52","Podium","Software",42.5,5.417,430,2014,"2","UT","Provo-Orem","Lehi","podium.com"
"53","SIA Solutions","Environmental Services",23.9,5.06,60,2012,"3","TX","Houston","Houston","http://siasolutions.com"
"54","QEO Group","Insurance",58.8,4.978,87,2014,"2","TX","Dallas","Irving","qeo.com"
"55","Dropified","Business Products & Services",5.1,4.971,30,2015,"1","AL","Birmingham","Birmingham","dropified.com"
"56","Sparx Hockey","Consumer Products & Services",8,4.916,25,2014,"1","MA","Boston","Acton","sparxhockey.com"
"57","TrueChoicePack","Consumer Products & Services",7.8,4.908,7,2013,"1","OH","Cincinnati","Mason","http://truechoicepack.com"
"58","Ooze Wholesale","Consumer Products & Services",25.9,4.899,30,2015,"1","MI","Detroit","Oak Park","http://oozewholesale.com"
"59","Progyny","Health",107.6,4.838,116,2008,"2","NY","New York City","New York","http://progyny.com"
"60","Pax8","Software",42.4,4.82,254,2012,"2","CO","Denver","Greenwood Village","pax8.com"
"61","Terminus","Software",21.5,4.73,162,2014,"1","GA","Atlanta","Atlanta","http://terminus.com"
"62","Chomps","Food & Beverage",21,4.469,8,2012,"2","FL",NA,"Naples","chomps.com"
"63","Rad Power Bikes","Manufacturing",44.6,4.442,100,2007,"1","WA","Seattle","Seattle","radpowerbikes.com"
"64","TradePending","Software",5.8,4.43,28,2014,"1","NC",NA,"Chapel Hill","tradepending.com"
"65","West Creek Financial","Financial Services",89.7,4.405,158,2014,"1","VA","Richmond","Glen Allen","http://westcreekfin.com"
"66","CityLift Parking","Construction",10.7,4.402,40,2015,"1","CA","San Francisco","Oakland","cityliftparking.com"
"67","Associated Veterans","Government Services",12.8,4.346,64,2007,"2","VA","Washington","Arlington","associatedveterans.com"
"68","Fetch Rewards","Software",9,4.323,63,2013,"1","WI","Madison","Madison","fetchrewards.com"
"69","10X Genomics","Health",146.3,4.309,380,2012,"1","CA","San Francisco","Pleasanton","10xgenomics.com"
